Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
28,Belgium,67,76,Atlético de Madrid,95776936,244069,Right,4,4.0,4,Lean,Middle,185,73
28,Brazil,77,84,Al Nassr,148156797,298181,Left,4,4.0,5,Stocky,Forward,190,80
30,Italy,69,73,Hellas Verona,108525681,294340,Right,3,4.0,3,Normal,Middle,180,71
30,France,63,73,Montpellier Hérault SC,105598700,225876,Right,4,5.0,2,Normal,Middle,172,69
29,Romania,75,77,Wuhan Three Towns,109230938,240861,Right,3,4.0,4,Normal,Middle,170,63
27,England,72,72,Southampton,118812666,235128,Right,3,3.0,3,Normal,Middle,173,66
34,Argentina,63,72,River Plate,87470240,190123,Right,3,5.0,4,Stocky,Back,170,69
34,Belgium,75,73,Royal Antwerp FC,112661636,224874,Right,3,3.0,2,Stocky,Middle,177,89
34,France,81,85,Real Madrid CF,145111259,358271,Right,3,4.0,4,Normal,Forward,185,81
32,Germany,77,77,Real Madrid CF,135913152,256601,Right,4,5.0,3,Normal,Middle,183,76
32,Germany,71,67,FC Bayern München,44947753,111604,Right,2,3.0,3,Normal,Back,170,66
34,Argentina,73,75,Al Shabab,109632055,217204,Right,2,4.0,3,Normal,Middle,176,78
22,Spain,72,68,Sporting CP,123823812,307781,Right,4,3.0,3,Normal,Back,173,69
27,Czech Republic,69,76,Hellas Verona,127676696,239105,Left,4,3.0,4,Normal,Forward,190,86
29,Ghana,64,71,Arsenal,86075313,190166,Right,3,3.0,3,Lean,Middle,185,77
34,Argentina,73,69,Juventus,93228242,261662,Left,3,2.0,3,Stocky,Back,180,69
32,Brazil,82,80,Atlético de Madrid,162313293,206952,Left,3,3.0,2,Lean,Back,182,74
29,Korea Republic,70,74,Tottenham Hotspur,107089769,281785,Right,3,5.0,4,Stocky,Back,183,78
32,Germany,72,72,FC Bayern München,161055026,386357,Right,3,4.0,3,Lean,Middle,185,76
36,Spain,71,77,Paris Saint-Germain,95282888,198732,Right,2,3.0,3,Stocky,Back,184,82
32,Italy,70,64,Fiorentina,70599309,163097,Right,2,3.0,2,Normal,Middle,181,75
28,Italy,66,67,Napoli,64611812,141172,Right,3,3.0,3,Normal,Back,183,83
34,Slovakia,73,76,Trabzonspor,112532187,125124,Right,3,5.0,4,Normal,Middle,183,73
33,Brazil,63,70,Shanghai Port FC,77924485,240728,Left,2,3.0,4,Stocky,Back,180,85
26,Spain,59,64,Manchester City,49822656,193407,Right,2,4.0,2,Normal,Middle,191,82
25,Ukraine,66,71,Arsenal,62236483,206111,Left,2,3.0,3,Lean,Back,175,64
21,Argentina,69,75,SL Benfica,136607171,252904,Right,3,4.0,3,Normal,Middle,180,77
30,Brazil,74,75,RB Bragantino,104529505,212207,Left,4,4.0,5,Normal,Back,172,68
32,Spain,62,72,Unión Deportiva Las Palmas,78968178,168868,Right,3,4.0,3,Lean,Middle,171,67
30,Italy,68,77,Chelsea,122209641,300129,Right,4,3.0,3,Lean,Middle,180,68
27,Scotland,75,69,Aston Villa,120894509,311384,Left,4,2.0,4,Normal,Middle,178,68
23,France,76,69,Olympique de Marseille,124296061,190032,Right,4,3.0,3,Lean,Middle,185,68
30,Portugal,66,70,Galatasaray SK,139434181,310847,Right,4,4.0,3,Normal,Middle,181,78
28,France,67,70,Real Betis Balompié,99641047,259475,Left,3,4.0,3,Stocky,Middle,173,75
28,Poland,61,70,Napoli,62885276,257377,Right,2,5.0,4,Lean,Middle,180,75
26,Spain,76,87,Napoli,130386833,247235,Left,3,3.0,3,Normal,Middle,189,70
32,Mexico,77,72,Houston Dynamo,99159459,268945,Right,3,4.0,3,Normal,Middle,185,78
24,Germany,55,69,VfL Wolfsburg,55355222,183114,Right,3,4.0,3,Normal,Back,176,75
27,France,60,66,Olympique de Marseille,97845081,212079,Right,3,4.0,2,Lean,Middle,172,70
21,Norway,65,85,Manchester City,87611860,198475,Left,3,3.0,3,Stocky,Forward,195,94
24,Italy,64,66,Juventus,97499826,278909,Right,4,4.0,3,Lean,Middle,185,75
25,Switzerland,71,80,Eintracht Frankfurt,99372629,235202,Right,2,4.0,3,Lean,Middle,184,76
23,England,69,67,Chelsea,106553065,258719,Right,3,4.0,3,Lean,Back,180,74
35,England,80,71,Leicester City,128310171,247113,Right,4,4.0,3,Stocky,Forward,179,74
27,Côte d'Ivoire,63,61,Racing Club de Lens,99457690,254206,Right,3,4.0,3,Normal,Middle,185,74
30,Netherlands,65,69,Liverpool,120419133,253455,Right,3,3.0,2,Stocky,Back,193,92
25,Brazil,67,73,Olympique de Marseille,115256277,273642,Left,3,3.0,4,Normal,Forward,184,76
31,Argentina,67,75,River Plate,126695207,262913,Right,3,3.0,3,Normal,Middle,173,72
33,Spain,67,63,Atlético de Madrid,102810378,309193,Right,4,3.0,5,Normal,Middle,181,74
27,Portugal,72,66,FC Porto,101357385,347327,Right,2,3.0,4,Normal,Middle,171,67
27,Croatia,74,76,Atalanta,114482381,299894,Right,3,4.0,4,Normal,Forward,188,82
40,England,63,68,AFC Richmond,82148243,228901,Left,1,3.0,2,Normal,Middle,182,82
23,Portugal,71,65,Beşiktaş JK,125354799,340508,Right,3,3.0,2,Lean,Middle,181,71
26,Uruguay,72,73,Galatasaray SK,123159679,281890,Right,3,3.0,3,Normal,Middle,166,60
26,Cameroon,64,71,Napoli,92209983,167516,Right,4,3.0,4,Normal,Middle,184,78
27,Netherlands,69,70,Roma,104927784,215650,Right,4,3.0,3,Normal,Middle,184,80
31,Netherlands,70,74,Atalanta,121352238,306325,Right,3,3.0,4,Normal,Middle,185,76
29,Scotland,83,82,Celtic,150350318,279833,Left,3,4.0,4,Normal,Middle,178,74
35,Portugal,65,66,Wolverhampton Wanderers,86781384,259134,Right,3,4.0,4,Normal,Middle,170,61
33,Belgium,66,65,Guangzhou City,55591839,139941,Left,3,2.0,4,Normal,Middle,185,85
24,Brazil,69,74,Newcastle United,120724356,233777,Right,4,2.0,3,Normal,Middle,182,74
22,Portugal,75,72,Atlético de Madrid,86963828,218400,Right,3,4.0,3,Stocky,Forward,181,70
33,Austria,60,68,Bologna,125474804,341643,Right,3,4.0,4,Normal,Forward,192,83
23,Norway,68,76,Arsenal,120833667,341344,Left,3,2.0,3,Lean,Middle,178,68
19,Spain,64,58,FC Barcelona,87737448,266618,Right,2,4.0,3,Lean,Middle,174,61
29,Mali,69,76,Everton,102035554,202691,Right,3,3.0,2,Stocky,Middle,184,76
30,Spain,67,78,Villarreal CF,102016351,285052,Left,3,4.0,3,Normal,Forward,180,77
26,Denmark,62,75,Tottenham Hotspur,83717245,244115,Right,3,4.0,4,Normal,Middle,187,84
32,Peru,62,72,Boca Juniors,110819272,262671,Right,3,3.0,2,Normal,Back,180,80
28,Argentina,87,61,Roma,90717200,223856,Left,2,3.0,4,Stocky,Forward,177,75
25,Uruguay,73,76,Tottenham Hotspur,74428073,184386,Right,3,4.0,3,Lean,Middle,187,73
33,Serbia,70,65,Ajax,121067666,302135,Left,3,3.0,2,Stocky,Forward,181,76
29,Czech Republic,73,76,SK Slavia Praha,104166149,227951,Right,2,4.0,3,Stocky,Middle,180,73
25,England,71,70,Chelsea,122750742,242289,Left,3,3.0,3,Normal,Back,180,77
32,Colombia,63,72,Shanghai Shenhua FC,79994775,136229,Right,3,4.0,3,Stocky,Middle,183,80
29,Italy,67,66,Roma,102039809,262986,Right,4,4.0,3,Lean,Middle,186,75
30,Spain,68,82,Real Madrid CF,115733155,278232,Right,3,3.0,2,Stocky,Back,173,73
24,Morocco,68,72,FC Bayern München,110381482,298867,Right,3,3.0,3,Lean,Back,183,62
30,Spain,71,76,Getafe CF,102698695,219127,Right,3,4.0,3,Normal,Middle,167,66
23,Portugal,72,66,Sporting CP,86514717,241661,Right,3,3.0,2,Normal,Middle,183,76
31,Argentina,76,76,Udinese Calcio,109126608,213774,Right,3,4.0,4,Lean,Middle,182,77
32,Jamaica,66,74,West Ham United,114084166,300048,Right,3,3.0,3,Stocky,Forward,178,82
31,France,74,85,AS Monaco,129540155,283980,Right,4,5.0,5,Stocky,Forward,170,68
27,England,64,67,Chelsea,74507969,187437,Right,3,3.0,3,Stocky,Forward,170,69
27,Spain,71,66,RCD Espanyol de Barcelona,83527739,215843,Right,3,4.0,2,Normal,Forward,180,79
34,Italy,67,67,FC Augsburg,77652122,225825,Right,3,4.0,4,Normal,Middle,182,80
20,England,69,78,Arsenal,100501655,305718,Left,4,3.0,4,Lean,Middle,178,65
22,Brazil,65,76,Internacional,138291090,357022,Left,4,5.0,3,Normal,Back,186,73
31,Brazil,62,71,Juventus,108197245,267825,Left,4,3.0,3,Stocky,Back,180,80
33,Germany,70,71,Borussia Mönchengladbach,152372945,338749,Right,3,4.0,3,Normal,Middle,181,80
24,Zambia,74,83,Brighton & Hove Albion,84894966,230477,Right,3,3.0,3,Normal,Middle,184,76
30,Brazil,63,73,Palmeiras,122572050,332145,Right,3,4.0,3,Normal,Middle,177,75
26,Brazil,68,73,Fulham,91607660,225954,Right,3,4.0,4,Normal,Middle,177,70
30,Belgium,73,72,Borussia Dortmund,118547109,309616,Right,3,4.0,3,Normal,Back,191,90
29,Switzerland,59,70,Torino F.C.,76559119,223281,Left,2,3.0,2,Normal,Back,182,77
29,Spain,65,67,Real Betis Balompié,88543110,187398,Left,4,3.0,3,Lean,Back,179,68
26,Uruguay,64,58,Santos Laguna,89400387,261203,Right,3,4.0,2,Normal,Middle,168,68
29,France,68,69,Olympique de Marseille,120961270,280013,Right,3,3.0,3,Lean,Middle,178,69
32,Ukraine,66,70,Adana Demirspor,90723618,215760,Left,3,3.0,3,Normal,Back,185,83
25,Scotland,66,58,Manchester United,60348988,198740,Right,2,3.0,3,Normal,Middle,193,88
29,Germany,63,76,Borussia Mönchengladbach,123462196,297969,Right,4,4.0,3,Normal,Middle,176,73
35,Mexico,76,58,Real Betis Balompié,122236237,326546,Left,3,2.0,3,Lean,Middle,169,67
34,Slovakia,64,73,Watford,103423613,310580,Right,3,4.0,3,Normal,Middle,186,84
22,Italy,63,70,Roma,103755971,296269,Left,3,3.0,3,Stocky,Forward,190,75
22,Sweden,62,67,Tottenham Hotspur,84597778,242666,Left,4,3.0,5,Normal,Back,186,75
24,France,71,84,U.S. Sassuolo Calcio,91340325,243728,Right,2,3.0,4,Lean,Middle,167,58
38,Brazil,71,71,FC Barcelona,110048287,249027,Right,3,3.0,4,Normal,Back,172,70
33,France,74,78,Villarreal CF,99011433,196618,Right,3,3.0,3,Lean,Middle,190,80
27,Spain,66,78,Valencia CF,141729186,285540,Left,4,3.0,4,Lean,Back,172,66
25,England,66,77,Leicester City,113373058,317258,Right,3,4.0,3,Lean,Middle,175,73
28,Denmark,68,68,Club Brugge KV,138540787,290520,Right,4,3.0,2,Normal,Middle,182,76
26,Norway,67,70,Feyenoord,59933622,136398,Right,2,3.0,3,Lean,Middle,179,71
34,Spain,68,83,Villarreal CF,113887757,272927,Right,2,4.0,4,Lean,Forward,180,70
21,Turkey,73,59,Feyenoord,90319733,181023,Right,3,5.0,3,Normal,Middle,175,68
28,Netherlands,82,88,FC Barcelona,131014426,226631,Right,4,3.0,4,Stocky,Back,176,78
24,Portugal,60,74,Sporting CP,94712979,224230,Right,3,4.0,3,Normal,Back,173,77
27,Turkey,67,64,Hull City,85207849,246139,Right,3,3.0,4,Normal,Middle,179,80
29,Spain,70,76,Athletic Club de Bilbao,89200652,231859,Right,3,3.0,3,Normal,Middle,170,66
28,France,69,68,Hellas Verona,90578778,234510,Right,2,3.0,2,Normal,Middle,180,78
31,France,77,77,LOSC Lille,101786552,264130,Right,2,3.0,4,Normal,Middle,180,74
25,Germany,67,77,Hertha BSC,118971639,290531,Right,3,3.0,4,Normal,Middle,184,75
34,Brazil,64,67,Fluminense,78247916,193954,Left,2,3.0,2,Lean,Middle,175,68
24,Côte d'Ivoire,66,78,PSV,97693774,230578,Right,3,4.0,3,Normal,Middle,191,77
36,Argentina,58,63,River Plate,67236848,213503,Right,3,4.0,3,Stocky,Middle,178,77
30,Brazil,59,73,Antalyaspor,140538187,320006,Right,3,3.0,3,Stocky,Middle,173,66
26,Russia,73,75,AS Monaco,154208852,351265,Right,4,4.0,4,Lean,Middle,180,69
25,Netherlands,59,59,Coventry City,75204453,180373,Right,2,3.0,3,Stocky,Middle,169,61
29,Croatia,64,67,Dinamo Zagreb,91660972,218867,Right,4,4.0,4,Lean,Back,179,69
26,Mexico,76,73,CF Monterrey ,128963540,167524,Left,3,2.0,3,Normal,Middle,170,79
27,Tunisia,66,75,1. FC Köln,98541919,264512,Right,4,3.0,5,Lean,Middle,185,74
28,Malta,68,76,Royale Union Saint-Gilloise,127623811,283322,Left,4,5.0,2,Normal,Middle,176,73
22,England,66,75,Manchester City,145458495,320117,Left,4,3.0,4,Lean,Back,171,69
28,Brazil,65,66,Paris Saint-Germain,96000134,314966,Right,3,3.0,4,Normal,Back,183,75
26,England,79,82,Manchester United,145767808,345509,Left,3,2.0,3,Stocky,Back,181,75
30,Nigeria,69,61,Spartak Moskva,115437547,332605,Right,3,4.0,2,Stocky,Middle,177,79
26,Germany,65,78,Borussia Dortmund,96202427,149302,Right,3,4.0,3,Lean,Middle,178,68
28,Côte d'Ivoire,68,66,Villarreal CF,79946695,195474,Right,3,3.0,3,Stocky,Back,174,74
29,Angola,61,62,Club Brugge KV,58879700,182120,Right,3,3.0,3,Normal,Back,180,73
27,Italy,64,76,Lazio,98768718,237896,Right,4,4.0,4,Normal,Middle,180,70
34,Uruguay,70,70,Getafe CF,138715115,359592,Right,4,3.0,3,Normal,Back,173,68
25,Brazil,73,76,Arsenal,96188090,191002,Right,3,3.0,3,Stocky,Forward,175,73
22,Brazil,64,59,RB Bragantino,107155042,361323,Right,2,3.0,4,Normal,Back,176,75
34,Ecuador,74,75,Gallos Blancos de Querétaro,164018781,372736,Right,3,2.0,4,Stocky,Back,180,88
27,Czech Republic,67,69,West Ham United,103754760,314670,Right,4,3.0,3,Lean,Middle,192,86
30,Brazil,66,70,Aston Villa,98446492,265851,Right,2,4.0,3,Normal,Back,172,68
23,England,70,77,West Ham United,102790829,231327,Right,3,3.0,3,Normal,Middle,185,80
27,Portugal,68,72,SC Braga,96369949,228999,Right,4,3.0,2,Lean,Middle,173,63
29,Argentina,68,69,Independiente del Valle,95943760,224207,Right,2,3.0,2,Lean,Middle,171,70
33,Turkey,68,75,Fatih Karagümrük S.K.,123996825,236121,Left,3,2.0,3,Lean,Back,181,72
31,Mexico,62,66,Wolverhampton Wanderers,100712984,240554,Right,3,4.0,2,Normal,Forward,188,81
24,England,77,74,AFC Richmond,149391130,215129,Right,3,4.0,3,Normal,Forward,178,84
29,Czech Republic,69,73,West Ham United,119454752,324137,Right,4,3.0,4,Normal,Back,175,76
29,Argentina,69,70,Olympique Lyonnais,136920578,299382,Left,3,2.0,2,Normal,Back,172,65
28,Germany,64,76,PSV,114880498,292793,Left,3,3.0,3,Normal,Back,177,77
25,Paraguay,60,63,Club América,74652089,201926,Right,2,3.0,2,Normal,Middle,170,70
30,Germany,71,68,Eintracht Frankfurt,144212970,306969,Right,4,4.0,3,Normal,Forward,176,72
32,Bosnia and Herzegovina,78,81,Trabzonspor,158740987,221732,Right,3,4.0,3,Lean,Back,172,63
24,Denmark,74,66,Leeds United,114574514,357086,Right,2,4.0,3,Normal,Back,187,70
21,France,62,72,OGC Nice,104085230,244727,Right,3,3.0,3,Normal,Middle,192,81
32,Netherlands,73,68,Ajax,88311750,182254,Left,3,3.0,3,Normal,Back,180,72
24,France,74,75,FC Nantes,124614496,246697,Left,3,2.0,4,Normal,Middle,180,70
29,Montenegro,69,75,Lazio,82256443,197468,Right,2,4.0,3,Normal,Back,185,85
26,Spain,60,82,West Ham United,93813261,233143,Right,3,3.0,4,Lean,Middle,178,67
34,Spain,71,60,RC Celta de Vigo,106811862,318403,Left,3,4.0,4,Lean,Forward,176,67
29,Portugal,66,63,MKE Ankaragücü,136474646,305804,Right,3,3.0,4,Stocky,Middle,170,65
29,Russia,66,80,Fatih Karagümrük S.K.,112272441,234438,Right,3,4.0,3,Normal,Middle,184,78
22,Brazil,69,82,Clube Atlético Mineiro,171640833,362259,Left,4,4.0,3,Lean,Back,178,69
28,France,71,58,RC Strasbourg Alsace,51156539,205572,Right,2,4.0,3,Lean,Middle,177,72
24,Croatia,62,75,Stade Rennais FC,117703423,302142,Left,3,3.0,3,Lean,Middle,179,75
24,Brazil,80,74,FC Midtjylland,157686663,297659,Right,4,4.0,3,Lean,Middle,179,76
31,Comoros,72,74,AJ Auxerre,100897308,246642,Right,4,4.0,4,Normal,Middle,175,69
32,Uruguay,67,67,Club Olimpia,91714455,186755,Right,3,4.0,3,Lean,Middle,178,68
30,Netherlands,70,80,Ajax,130592342,226577,Left,3,3.0,4,Lean,Middle,182,75
20,Portugal,72,66,Paris Saint-Germain,116684554,234842,Left,3,4.0,3,Lean,Back,176,70
23,Uruguay,58,79,Liverpool,89281640,221474,Right,3,3.0,4,Lean,Forward,186,80
32,Spain,76,60,Chelsea,80969967,234279,Right,3,3.0,4,Normal,Back,178,77
30,Italy,72,75,Atalanta,120283652,258388,Right,3,3.0,4,Lean,Middle,182,75
26,Netherlands,61,74,Inter,109968958,252776,Right,3,3.0,3,Normal,Middle,188,80
26,Germany,67,65,Vitesse,106979507,361413,Left,3,3.0,3,Normal,Back,173,70
30,Italy,65,70,Fenerbahçe SK,94139006,238409,Right,3,4.0,3,Lean,Forward,184,73
32,Italy,60,83,Lazio,117708802,226117,Right,2,4.0,3,Stocky,Forward,185,85
27,Algeria,70,74,Borussia Mönchengladbach,96114283,252752,Left,2,4.0,3,Normal,Back,187,85
26,Germany,59,79,FC Bayern München,76781730,204144,Right,4,4.0,3,Stocky,Middle,176,77
23,Switzerland,76,79,BSC Young Boys,128851792,300239,Right,3,4.0,3,Stocky,Middle,184,88
37,Argentina,72,72,Club Atlético Colón,143296904,357442,Right,4,4.0,4,Stocky,Forward,167,67
33,Germany,71,83,Hertha BSC,142110191,344774,Right,4,4.0,4,Normal,Middle,189,90
24,Austria,69,79,RB Leipzig,111398434,206399,Left,3,3.0,3,Stocky,Middle,174,78
31,Portugal,76,73,Napoli,112077386,264796,Left,2,3.0,4,Lean,Back,170,67
23,Netherlands,62,72,PSV,57971391,91087,Right,2,4.0,2,Lean,Back,189,76
24,Czech Republic,67,68,FC Schalke 04,114010681,245601,Right,3,3.0,3,Lean,Middle,186,76
24,Germany,65,71,RB Leipzig,97124640,291696,Left,2,2.0,4,Normal,Back,180,75
24,Netherlands,72,75,AZ Alkmaar,99476885,264431,Right,3,3.0,4,Normal,Middle,183,76
25,Spain,67,75,Real Sociedad,111066271,290466,Left,4,3.0,3,Lean,Back,181,79
24,Serbia,78,74,Valencia CF,101738067,201683,Right,3,4.0,4,Normal,Middle,193,81
28,Spain,59,70,Athletic Club de Bilbao,105697907,279475,Right,4,2.0,4,Lean,Forward,186,80
29,Ghana,78,77,Crystal Palace,105525825,159242,Left,3,2.0,2,Normal,Middle,178,72
21,Spain,65,66,Athletic Club de Bilbao,74937557,231156,Right,2,4.0,4,Normal,Middle,176,71
32,Italy,68,77,Brescia,134599470,280537,Right,3,3.0,4,Normal,Middle,178,72
